ID,Name,Site,rotation,Soil,Position,Frost,Feeding,Companions,Spacing,Sow,Notes,Harvesting,Troubleshooting
143,Lime,/plants/us-and-canada/how-to-grow-limes/,Miscellaneous ●,"Warm, moist soil, well-enriched with organic matter. When growing dwarf limes in containers, avoid potting soils that contain wetting agents.","A sheltered spot in full sun spring to fall. In winter, plants may be moved into a greenhouse, sunroom, or heated garage.",No. Grow at temperatures above 7°C (45°F). The ‘Bearss’ lime often grown in containers should be brought indoors when temperatures go below 5°C (40°F).,In spring and summer feed with a balanced organic fertilizer. Fertilize more if you see yellowing leaves.,"Dill, Thyme, Marigold, Borage, Cosmos and Calendula. Limes and other citrus are heavy feeders that resent close company.","Single Plants: 16' 4"" (5.00m) each way (minimum)
Rows: 16' 4"" (5.00m) with 16' 4"" (5.00m) row gap (minimum)","Set out new plants in late winter or early spring. Grow in containers of rich compost to keep plants compact and to make it easy to bring plants indoors for the winter. Good drainage is essential.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Prune in spring or summer to shape plants, and watch for thorns. The 'Bearss' lime is easier to grow in containers than other types.",Pick when richly colored and fully ripe. Picking can continue for several weeks as fruits do not ripen all at once.,Grow outdoors in the warmer months to expose plants to heat and pollinators. Soft soap sprays can help against scale insects.
144,Lime (Container Grown),/plants/us-and-canada/how-to-grow-container-grown-limes/,Miscellaneous ●,"Warm, moist soil, well-enriched with organic matter. When growing dwarf limes in containers, avoid potting soils that contain wetting agents.","A sheltered spot in full sun spring to fall. In winter, plants may be moved into a greenhouse, sunroom, or heated garage.",No. Grow at temperatures above 7°C (45°F). The ‘Bearss’ lime often grown in containers should be brought indoors when temperatures go below 5°C (40°F).,In spring and summer feed with a balanced organic fertilizer. Fertilize more if you see yellowing leaves.,"Thyme, Marigold, Borage and Calendula. Limes and other citrus are heavy feeders that resent close company.","Single Plants: 1' 11"" (60cm) each way (minimum)
Rows: 1' 11"" (60cm) with 1' 11"" (60cm) row gap (minimum)","Set out new plants in late winter or early spring. Grow in containers of rich compost to keep plants compact and to make it easy to bring plants indoors for the winter. Good drainage is essential. Start small plants in containers at least 12"" (30cm) wide and pot them up a size yearly until they reach mature size.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Prune in spring or summer to shape plants, and watch for thorns. The 'Bearss' lime is easier to grow in containers than other types.",Pick when richly colored and fully ripe. Picking can continue for several weeks as fruits do not ripen all at once.,Grow outdoors in the warmer months to expose plants to heat and pollinators. Soft soap sprays can help against scale insects.
145,Lobelia,/plants/us-and-canada/how-to-grow-lobelia/,Miscellaneous ●,"Fertile, well-drained soil, or use containers.",Full sun to partial shade.,Limited. Lobelia can take cool weather but is easily damaged by frost.,"Mix a standard application of a balanced organic fertilizer into the soil prior to planting. In midsummer, drench plants with a liquid plant food to stimulate new growth.",Alyssum. Lobelia varieties that bloom blue are wonderful cascading flowers to combine with petunias or other easy annuals in containers. You also can use lobelia to edge beds because of its small size.,"Single Plants: 5"" (15cm) each way (minimum)
Rows: 5"" (15cm) with 5"" (15cm) row gap (minimum)","Sow tiny lobelia seeds indoors, on top of moist seed starting mix, and provide very bright light. Most gardeners buy lobelia seedlings, which are widely available as bedding plants in spring. 
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Lobelia is a great cool-season flower for adding vivid blue to the garden. Some varieties bloom white or pink.,"In early summer, pinch back plants to stimulate the growth of new blossom-bearing branches.","High heat can cause lobelia to suffer, but the plants stay in bloom for many weeks in climates with cool nights."
146,Loganberry,/plants/us-and-canada/how-to-grow-loganberries/,Miscellaneous ●,"Rich, moisture-retentive soil.",Full sun or partial shade.,Yes.,Mulch with well-rotted organic matter in spring.,"Leek, Garlic, Onions and Chives. It is best to keep the area around a mound of loganberries mowed to make picking easier.","Single Plants: 8' 2"" (2.50m) each way (minimum)
Rows: 8' 2"" (2.50m) with 8' 2"" (2.50m) row gap (minimum)","Prepare a sturdy frame of wires against a wall or on posts. Plant with the crown 8cm below soil level and apply a thick mulch. Cut the stems to a strong bud.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","After harvesting, cut 2 year old branches to ground level. Healthy loganberries will bear for ten to fifteen years or more.","Pick when ripe. Loganberries do not ripen all at once, and should be picked weekly through the second half of summer.",Net to prevent bird damage. Plant a thornless variety to take the pain out of harvesting.
147,Lovage,/plants/us-and-canada/how-to-grow-lovage/,Umbelliferae (Carrot and root family) ●,Rich soil that retains moisture well.,Full sun in cool climates; partial shade where summers are very hot.,Lovage is a hardy perennial that survives winter even in very cold climates.,Topdress the soil around the dormant plant with rich compost each winter.,"Potatoes, Pepper and Beans.","Single Plants: 1' 11"" (60cm) each way (minimum)
Rows: 1' 11"" (60cm) with 1' 11"" (60cm) row gap (minimum)","Start with a purchased plant, or start seeds indoors and set out at about the time of your last frost. Lovage will reach its mature size in about three years.    One plant is usually sufficient, but it’s a good idea to start a new plant every few years.  At maturity, lovage will need a 3-foot (90 cm) square space. It is a very large herb. Because of its 5-foot (1.5 meter) height, lovage is best located at the edge or rear of the garden.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Tender young growth has the best flavour. In summer, consider pruning plants back to force them to push out a flush of new leaves.",Gather sprigs as needed in the kitchen for their celery flavor. Freeze extra leaves by covering chopped lovage leaves with water in ice cube trays.,"Remove flowers should lovage produce too many unwanted seedlings. Or, gather lovage seeds and use them in cooking as a substitute for celery seeds."
148,Mache,/plants/us-and-canada/how-to-grow-mache/,Miscellaneous ●,"Any fertile, well drained soil.",Full sun.,"Yes, tolerates extreme cold when well rooted.",Not generally required.,"Carrot, Turnip, Leek, Chinese Cabbage and Cabbage.","Single Plants: 5"" (15cm) each way (minimum)
Rows: 5"" (15cm) with 5"" (15cm) row gap (minimum)","Start seeds indoors in late winter and set out in very early spring. Sow again in fall, and allow plants to grow through the winter.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",This petite green is slow yet easy to grow in cool weather.,Harvest in small batches as needed in the kitchen.,Control weeds that threaten to overtake the small plants.
149,Marigold,/plants/us-and-canada/how-to-grow-marigolds/,Miscellaneous ●,Any sunny site with good drainage.,Full sun to partial afternoon shade.,None.  Marigold cannot tolerate cold temperatures.,Mix a light application of a balanced organic fertilizer into the soil prior to planting.,"Tomato, Cabbage, Squash, Pumpkin, Cucumber, Melon, Cauliflower, Kale, Potatoes, Black Currant, Red Currant, White Currant, Beans, Orange, Lime and Lemon. Dwarf types make good edging plants that may deter rabbits. Some varieties are known for their ability to starve out rootknot nematodes when planted as a mass.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 7"" (20cm) with 7"" (20cm) row gap (minimum)","Sow marigolds in late spring, or set them out as bedding plants. In climates with long, hot summers, make a second planting in summer for great autumn color.  Broadcast seed into cultivated soil so that the seeds are about 2 inches (5 cm) apart and one-half inch (1 cm) deep. Thin to 8 inches (20 cm) apart in all directions for dwarf varieties; allow 12 inches (30 cm) between very tall varieties.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","The 'Gem' marigolds (T. tenufolia) bear edible blossoms with a spicy, citrus flavor.","Marigolds make good short-stemmed cut flowers for small bouquets. Don't rush to pull up plants that stop blooming but look healthy, because they will probably come back into bloom.",Marigolds have few problems with pests or diseases.  Tall varieties may need staking to keep them upright.
150,Marjoram,/plants/us-and-canada/how-to-grow-marjoram/,Miscellaneous ●,"Average, well drained.",Full sun to partial afternoon shade.,"Hardy only where winters are mild. In cold climates, pot up plants in fall and grow them through winter indoors. Marjoram is easy to root from 2-inch long stem tip cuttings.",Not generally needed.,"Oregano, Thyme and Pepper.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 5"" (15cm) with 9"" (25cm) row gap (minimum)","Start with a purchased plant, or start seeds indoors and set out at about the time of your last frost.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Frequent pinching back helps to keep plants bushy and full, and it delays flowering.","Gather sprigs as needed in the kitchen. Gather stems for drying in early summer, just before the plants bloom.",May become lanky by midsummer. Trim back to promote the emergence of new growth.
151,Medlar,/plants/us-and-canada/how-to-grow-medlars/,Miscellaneous ●,"Deep, fertile, well-drained soil.",Full sun or partial shade.,Yes.,Mulch with well-rotted organic matter in spring.,-,"Single Plants: 14' 9"" (4.50m) each way (minimum)
Rows: 14' 9"" (4.50m) with 14' 9"" (4.50m) row gap (minimum)","Prepare a large hole by breaking up the soil and adding plenty of well-rotted organic matter.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Stake trees for the first 3-4 years. Healthy medlar trees will bear for decades.,"Can harvest in fall before the fruits are fully ripe or else leave until they ripen if there is no danger of frost. Fruit must first be ‘bletted’ before eating raw.  To do this, leave them in a cool place until they turn dark red-brown and become soft.","Medlars are naturally astringent, like persimmons."
152,Melon,/plants/us-and-canada/how-to-grow-melons/,Cucurbits (Squash family) ●,"Rich soil with plenty of compost added. Often grown in widely spaced enriched hills, or in well-aged compost heaps that include some soil.",Full sun.,No.,"After plants set fruit, feed twice, at two week intervals, with a water soluble plant food.","Nasturtium, Marigold, Oregano, Corn, Pumpkin, Radish, Squash, Beans and Morning Glory.","Single Plants: 2' 11"" (90cm) each way (minimum)
Rows: 2' 11"" (90cm) with 2' 11"" (90cm) row gap (minimum)","Sow seeds 1 inch deep in rows, or in hills spaced 6 feet apart. After 2 weeks, thin to 2 plants per hill.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Fruit size varies with variety. Small melons mature quickly and take up less space compared to huge varieties.,Harvest when sound holow if tapped hard. Wipe clean and store indoors.,Control weeds early and then mulch to avoid trampling the vines after fruits have set.
153,Mint,/plants/us-and-canada/how-to-grow-mint/,Miscellaneous ●,"Any average, well drained soil where mint's wandering tendencies can be kept in check.",Full sun to partial afternoon shade.,"Hardy even in cold climates. If desired, small plants can be potted up in fall and grown through winter indoors.",Not generally needed.,"Peas, Brussels Sprouts, Broccoli, Cauliflower, Cabbage, Persimmon, Kale, Kohlrabi, Tomato and Eggplant.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 5"" (15cm) with 9"" (25cm) row gap (minimum)","Start with a purchased plant, or start seeds indoors and set out at about the time of your last frost. Mint is also easy to root from stem tip cuttings stuck into moist potting soil. Some strains are propagated only from cuttings rather than seeds.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Frequent pinching back helps to keep plants bushy and full, and it delays flowering. Spearmint or peppermint are the most versatile strain for cooking.","Gather sprigs as needed in the kitchen. Gather stems for drying in early summer, just before the plants bloom.","Often becomes invasive. If possible, grow near walkways, driveways, or other hard surfaces, or in containers buried halfway in the ground."
154,Mizuna,/plants/us-and-canada/how-to-grow-mizuna/,Brassicas (Cabbage family) ●,"Rich, moist soil, firm with plenty of well rotted compost dug in.",Sun or partial shade preferred.,Yes.,Not required if good soil.,"Beans, Radicchio, Endive, Tatsoi and Mustard.","Single Plants: 9"" (25cm) each way (minimum)
Rows: 7"" (20cm) with 11"" (30cm) row gap (minimum)","Sow directly into soil from early to late summer
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",May need to protect under mesh or fleece to prevent problems with flea beetle. Keep soil moist in dry weather to prevent running to seed.,Harvest as required.,< Back to All Plants
155,Monarda,/plants/us-and-canada/how-to-grow-monarda/,Miscellaneous ●,Rich soil that holds moisture well.,Morning sun with partial afternoon shade.,"A cold-hardy perennial, monarda can survive temperatures to -20F (-30C).",Topdress the dormant plants with good compost in winter.,"Lovage, Cosmos, Corn, Squash, Beans and Echinacea. Salad greens, other shade-tolerant plants.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 1' 7"" (50cm) row gap (minimum)","Start with purchased plants, set out in spring. Many selected cultivars are resistant to powdery mildew, a common problem with this species.  12"" (30 cm) each way (minimum) is a good spacing for an initial planting of 3 plants. Monarda is a slight spreader, but not invasive like mint. Over time, a happy plant will form a mount 4 feet (120 cm) high and wide.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Pastel flower colours look especially cooling in partial shade. Leaves are excellent for tea.,"Harvest stems to dry for tea in early summer, before the plants bloom. The plants will regrow after cutting, then bloom.",Moving clumps every few years may help limit problems with powdery mildew.
156,Morning Glory,/plants/us-and-canada/how-to-grow-morning-glory/,Miscellaneous ●,Well-drained soil of average fertility.,Full sun.,None. Morning glory is a warm-season annual.,"Mix a light application of a balanced organic fertilizer into the soil prior to planting.  In midsummer, drench plants with a liquid fertilizer to prolong bloom time.","Melon. Vigorous morning glory vines will twine up any type of support and grow into lush, heavy-blooming plants. They are at their best on a sturdy fence.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 7"" (20cm) with 7"" (20cm) row gap (minimum)","Sow morning glory seeds indoors to get a head start, or you can plant the seeds where you want the plants to grow at about the time of your last spring frost.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Morning glory vines are fast climbers that will run up fences, poles, or taller plants such as sunflowers. Morning glory flowers close up during the afternoon hours.","Gather up the old vines after they are damaged by frost and compost them. Morning glories are related to tomatoes, sweet potatoes and other members of the nightshade family.",Many older strains of morning glory quickly become invasive weeds in warm summer climates. ‘Heavenly Blue’ and ‘Flying Saucers’ are safe choices because they set few seeds compared to many other varieties.
157,Muscari,/plants/us-and-canada/how-to-grow-muscari/,Miscellaneous ●,Average garden soil with good drainage.,"Full sun in spring, sun to partial shade in summer.",Excellent. Most muscari are hardy to -25F (-32C); cold tolerance varies with species.,"Topdress with rich compost in spring, when new growth appears. Muscari that have naturalized in lawns usually need no additional fertilizers.","Pansy . Petite muscari make excellent neighbors for taller daffodils or tulips. They are popular for naturalizing in open woodlands, or along the edge of the lawn.","Single Plants: 5"" (15cm) each way (minimum)
Rows: 5"" (15cm) with 5"" (15cm) row gap (minimum)","Set out dormant bulbs from late summer to early winter. Cover the bulbs to four times their depth with loose soil.  Spacing can be as close as 2in (5cm) between muscari bulbs when planting them for spring display. Allow 6in (15cm) between bulbs when naturalizing; they will multiply on their own. 
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Easy to grow and long-lived in many climates, muscari is a great low-maintenance bulb to add to informal landscapes. Vibrant shades of blue are available in several cultivars.","Tiny muscari blossoms can be combined with pansies in mini -flower arrangements. Cut when one third of the bell-shaped florets are open. As the flowers fade in the garden, trim them off with scissors or pruning shears if you want to prevent reseeding.",Muscari have few pest problems and are seldom eaten by deer. They are best grown in sites where their tendency to multiply is welcome.
158,Muskmelon,/plants/us-and-canada/how-to-grow-muskmelon/,Cucurbits (Squash family) ●,"Rich soil with plenty of compost added. Often grown in widely spaced enriched hills, or in well-aged compost heaps that include some soil.",Full sun.,No.,"After plants set fruit, feed twice, at two week intervals, with a water soluble plant food.","Corn, Radish, Mint, Marigold and Nasturtium.","Single Plants: 2' 11"" (90cm) each way (minimum)
Rows: 2' 11"" (90cm) with 2' 11"" (90cm) row gap (minimum)","Sow seeds 1 inch deep in rows, or in hills spaced 6 feet apart. After 2 weeks, thin to 2 plants per hill. To prevent insect problems and encourage early growth, cover seedlings with row cover (fleece) tunnels until they begin to bloom.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Fruit size, flesh color and texture varies with variety and type of melon. Fast-growing muskmelons often do best where summers are cool and rainy, while warm, dry climates favor smooth-skinned honeydews. Small melons mature quickly and take up less space compared to varieties that produce huge fruits.","Many muskmelons and cantaloupes separate naturally from the stem when the melons are ripe, so they come away from the vine with only a gentle tug. Melons that do not “slip” often sound hollow when tapped, and the skin color takes on a yellowish cast. Wipe harvested melons clean and store indoors in a cool place, or in the refrigerator.","Use a paper or other roll-out mulch to prevent weeds. Do not weed after the fruits have set. In the US, melons are at high risk for damage from squash bugs, squash vine borers, cucumber beetles and bacterial wilt, so using row cover is a wise preventive strategy."
159,Mustard,/plants/us-and-canada/how-to-grow-mustard/,Brassicas (Cabbage family) ●,"Fertile, well drained soil.",Full sun to partial afternoon shade.,Mustard is cool-season annual that can tolerate light frosts but not hard freezes.,"None generally needed, because mustard is customarily used as a late summer/fall cover crop to take up nitrogen left in the soil by corn or other vegetables.","Grape Vine, Beans, Peas, Apple and Plum. Mustard does an excellent job of suppressing weeds when grown in a solid mass.","Single Plants: 5"" (15cm) each way (minimum)
Rows: 5"" (15cm) with 5"" (15cm) row gap (minimum)","Sow in late summer to use mustard as a short-term fall cover crop. Broadcast seed into cultivated soil so that the seeds are about 2 inches (5 cm) apart and one-half inch (1 cm) deep. Thin to 6 inches (15 cm) apart in all directions.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","You can gather individual leaves for cooking, which taste best after the first frost has passed. Mustard residue suppresses soil-borne nematodes, so it is an excellent cover crop to grow before potatoes.",Chop down the green foliage with a hoe and turn it under just before hard freezes are expected. The mustard roots and foliage will rot during the winter months.,Irrigation is often needed to get a good stand in dry fall weather.
160,Nasturtium,/plants/us-and-canada/how-to-grow-nasturtiums/,Miscellaneous ●,Any sunny site with good drainage.,Full sun to partial afternoon shade.,"Nasturtiums may survive very light frosts, but they are easily damaged by freezing temperatures.",Mix a light application of a balanced organic fertilizer into the soil prior to planting.,"Apple, Beans, Cabbage, Kale, Broccoli, Potatoes, Pumpkin, Radish, Squash, Corn, Tomato and Sunflower. Nasturtiums sprawl out over the ground, so they suppress weeds and shade the soil when grown near tall plants like sweet corn, tomatoes or sunflowers.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Soaking seeds in water overnight prior to planting may speed germination, but nasturtium seeds sprout best when the soil is warm. Poke seeds into the soil about 1 inch (3 cm) deep and 3 inches (8 cm) apart. Thin to 12 inches (30 cm) apart in all directions.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Nasturtium blossoms, leaves and immature green seed pods are edible.","Gather nasturtium blossoms in the morning, when they are plumped up with moisture. Snip away the base of each blossom, which may taste bitter.",Nasturtium will often reseed itself in hospitable sites.
161,Nectarine (Dwarf),/plants/us-and-canada/how-to-grow-dwarf-nectarine-trees/,Miscellaneous ●,Moisture-retentive but well-drained. Avoid planting in heavy soils.,"Sheltered south or south-west facing wall or fence, or under glass in cool climates. Elsewhere nectarines need full sun to limit disease and produce high quality fruit.","Yes, but it is important to choose varieties known to grow well in your area to reduce risk of losing blooms to spring freezes.","Topdress generously with well-rotted organic matter in spring , along with a balanced organic fertilizer. Keep the area under nectarines mulched with wood chips or sawdust.","Garlic, Tansy, Dill, Chives, Cilantro and Nasturtium. Corridors within the orchard that are planted with clovers and other legumes contribute to soil fertility and attract pollinators.","Single Plants: 9' 10"" (3.00m) each way (minimum)
Rows: 9' 10"" (3.00m) with 9' 10"" (3.00m) row gap (minimum)","Prepare a large hole by breaking up the soil and adding plenty of well-rotted organic matter. A wide hole is better than a very deep one. Mulch after planting, and encircle the trunk with a wire cage or protective pipe to protect the young tree from animal and insect pests. Young nectarine  trees are at high risk for damage from insects that bore into the main trunk.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Nectarines are self-fertile, but produce better when more than one tree is grown. Prune nectarines hard in winter. Healthy nectarine trees will bear for twenty years or more.",Pick when the color has fully developed and the flesh feels soft near the stalk. The fruit should pull away easily from the tree.,"Keep plant dry under cover to avoid peach leaf curl. In humid climates, nectarines often develop problems with fungal diseases such as brown rot. Preventive sprays with organic fungicides are often needed to grow good quality nectarines. Plum curculios feed on buds, flowers and unripe fruits. Control by allowing hens to feed around trees, or shake branches to dislodge the insects onto a sheet then plunge into very hot water. Remove any fallen fruits as soon as possible. Peach borers can be identified by holes in the bark with a sawdustlike frass. Poke a needle into the hole to kill the borer."
162,Nectarine (Large),/plants/us-and-canada/how-to-grow-nectarines/,Miscellaneous ●,Moisture-retentive but well-drained. Avoid planting in heavy soils.,"Sheltered south or south-west facing wall or fence, or under glass in cool climates. Elsewhere nectarines need full sun to limit disease and produce high quality fruit.","Yes, but it is important to choose varieties known to grow well in your area to reduce risk of losing blooms to spring freezes.","Topdress generously with well-rotted organic matter in spring , along with a balanced organic fertilizer. Keep the area under nectarines mulched with wood chips or sawdust.","Garlic, Tansy, Dill, Chives, Cilantro and Nasturtium. Corridors within the orchard that are planted with clovers and other legumes contribute to soil fertility and attract pollinators.","Single Plants: 19' 8"" (6.00m) each way (minimum)
Rows: 19' 8"" (6.00m) with 19' 8"" (6.00m) row gap (minimum)","Prepare a large hole by breaking up the soil and adding plenty of well-rotted organic matter. A wide hole is better than a very deep one. Mulch after planting, and encircle the trunk with a wire cage or protective pipe to protect the young tree from animal and insect pests. Young nectarine  trees are at high risk for damage from insects that bore into the main trunk.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Nectarines are self-fertile, but produce better when more than one tree is grown. Prune nectarines hard in winter. Healthy nectarine trees will bear for twenty years or more.",Pick when the color has fully developed and the flesh feels soft near the stalk. The fruit should pull away easily from the tree.,"Keep plant dry under cover to avoid peach leaf curl. In humid climates, nectarines often develop problems with fungal diseases such as brown rot. Preventive sprays with organic fungicides are often needed to grow good quality nectarines. Plum curculios feed on buds, flowers and unripe fruits. Control by allowing hens to feed around trees, or shake branches to dislodge the insects onto a sheet then plunge into very hot water. Remove any fallen fruits as soon as possible. Peach borers can be identified by holes in the bark with a sawdustlike frass. Poke a needle into the hole to kill the borer."
163,Nicotiana,/plants/us-and-canada/how-to-grow-nicotiana/,Solanaceae (Potato and tomato family) ●,Average garden soil with excellent drainage.,Full sun to partial afternoon shade.,None. Nicotiana is a warm-natured flower.,"Fast growth is encouraged by mixing a balanced organic fertilizer into the soil before planting.  In midsummer, drench plants with a liquid fertilizer to stimulate late-season blooming.","Lettuce, Cabbage, Cauliflower, Kohlrabi, Broccoli and Collards. Upright nicotiana combines well with mound-forming flowers like portulaca or lobelia. The tubular flowers attract hummingbirds, and many varieties are fragrant.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Set out stocky seedlings from spring to early summer, after the soil has warmed.  When starting the tiny seeds indoors, barely cover them with moist seed-starting mix.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Nicotiana can be used as a trap crop from tomato hornworms. In midsummer, cut the plants back by half their size to quickly gather up hornworms eating the leaves. Very tall varieties benefit from staking. Nicotiana colors include white, pink, red, purple, lime green and yellow.","As flowers fade, snip them off the flowering spikes with scissors to keep the plants looking neat.","Aphids, slugs and both tomato and tobacco hornworms can require management. Some people are sensitive to nicotiana leaf sap and should dress defensively when working around the plants."
164,Nigella,/plants/us-and-canada/how-to-grow-nigella/,Miscellaneous ●,"Fertile, well-drained soil.",Full sun to partial afternoon shade.,"Moderate. In mild winter areas or sheltered sites, seedlings that sprout in fall may survive to spring. Seedlings that sprout in early spring easily survive light frosts.",Mix a light application of a balanced organic fertilizer into the soil prior to planting.,"Strawberry. You can use the light texture and soft colors of nigella to break up clashes between cornflowers and calendula, which can be grown on a similar schedule.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","Sow seeds in prepared beds and gently press them into the surface. Keep moist until the seeds germinate. Because of their lacy foliage, nigella seedlings are easy to recognize among weeds.  Nigella usually grows better from direct-sown seeds than from transplanted seedlings.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Because nigella blooms for only a few weeks, it is best to sow seeds two or three times from late spring to early summer. Flower colors include white, blue, pink and purple.","Many gardeners like to gather the decorative dried seed pots for use in dry arrangements. When the pods begin to brown, clip them off and hang them in small bunches to dry.",Nigella plants may decline rapidly in very hot weather. This flower self-sows in most gardens.
165,Oats,/plants/us-and-canada/how-to-grow-oats/,Miscellaneous ●,"Any average, well drained soil.",Full sun.,Oats are a cool-weather crop that can tolerate light frosts but is usually killed by temperatures below 5F (-15C).,"None generally needed, especially when oats are grown with nitrogen-fixing cover crops such as winter peas, winter beans or hairy vetch.",Winter Peas and Winter Field Beans.,"Single Plants: 3"" (10cm) each way (minimum)
Rows: 3"" (10cm) with 3"" (10cm) row gap (minimum)","Sow in late summer to grow a cover crop that forms its own mulch when it is winterkilled, or when using oats as a companion crop for slower-growing legumes. Oats also can be grown as a spring cover crop to increase soil organic matter.  Broadcast seed into cultivated soil so that the seeds are about 3 inches (7 cm) apart and one-half inch (1 cm) deep. No thinning is required. Increase spacing to 8 inches (20cm) apart when growing oats with other cover crops.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Oats are an ideal late summer cover crop where winters are cold enough to kill it; the dead residue forms its own winter mulch, which is usually well rotted by spring.","Young oats can be turned under anytime. In mild winter climates, oats should be mowed and tilled before seedheads appear in late spring.","Rotting oat foliage has herbicidal properties, in that it inhibits germination of weed seeds. Always wait 3 weeks before sowing seeds into soil where oats have been turned under."
166,Okra,/plants/us-and-canada/how-to-grow-okra/,Miscellaneous ●,"Fertile, well drained soil amended with compost.",Full sun and warm conditions.,No.,"Not required, but thrifty growth often indicates nutritional stress.","Melon, Cucumber, Pepper and Eggplant.","Single Plants: 1' 7"" (50cm) each way (minimum)
Rows: 1' 5"" (45cm) with 1' 11"" (60cm) row gap (minimum)","Soak seeds in water overnight before planting them 1 inch deep and 6 inches apart in warm soil. Thin to proper spacing after two weeks.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Requires warm weather to grow well.,Use pruning shears to gather pods less than 5 inches long. Wear gloves and a long-sleeved shirt to avoid prickles.,Ants sometimes damage okra blossoms.
167,Onion,/plants/us-and-canada/how-to-grow-onion/,Allium (Onion family) ●,"Fertile, well drained soil with compost dug in. In clay soil, grow in raised beds or rows.",Full sun.,Yes.,"Mix a balanced organic fertilizer into the bed or row before planting your onions, taking care to get it into the soil below the plants. Do not feed plants that are nearing maturity if you want very sweet onions.","Beet, Chamomile, Carrot, Lettuce, Strawberry, Tomato, Garlic, Scallions and Cabbage.","Single Plants: 5"" (15cm) each way (minimum)
Rows: 3"" (10cm) with 7"" (20cm) row gap (minimum)","If you don't start your own seeds, set out sets (small dormant bulbs) or pencil-size seedlings in spring, while the soil is still cool.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Onions respond to changing day length. Grow short-day varieties in southern latitudes. Long-day varieties work best in northern areas. Try growing different varieties from seed to explore differences in bulb color, size and shape.","Harvest young onions as scallions. When bulbs form and the tops of the plants fall over, pull them and cure in a warm place for about 10 days before storing.",Weed early and often to keep onions growing strong. Seedlings are less likely to bolt (produce flowers) compared to bulb onions grown from sets.
168,Onion (Fall planted),/plants/us-and-canada/how-to-grow-fall-planted-onions/,Allium (Onion family) ●,"Fertile, well drained soil with compost dug in. In clay soil, grow in raised beds or rows.",Full sun.,Yes.,"Mix a balanced organic fertilizer into the bed or row before planting your onions, taking care to get it into the soil below the plants. Do not feed plants that are nearing maturity if you want very sweet onions.","Beet, Carrot, Cabbage, Chinese Cabbage and Swiss Chard.","Single Plants: 5"" (15cm) each way (minimum)
Rows: 5"" (15cm) with 9"" (25cm) row gap (minimum)","If you don't start your own seeds, set out sets in fall when the soil is cool. Japanese bunching onions are often planted in the fall in cooler climates.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Onions respond to changing day length. Grow short-day varieties in southern latitudes. Long-day varieties work best in northern areas. Try growing different varieties from seed to explore differences in bulb color, size and shape.","Harvest young onions as scallions. When bulbs form and the tops of the plants fall over, pull them and cure in a warm place for about 10 days before storing.",Weed early and often to keep onions growing strong. Seedlings are less likely to bolt (produce flowers) compared to bulb onions grown from sets.
